environment,organization,project,workspace,policy
dev,lucierlabs,hashicorp-vault-onboarding,auth-admin-ldap-dev,admin-auth-admin-ldap-policy
dev,lucierlabs,hashicorp-vault-onboarding,auth-approle-vault-dev,admin-auth-approle-vault-policy
dev,lucierlabs,hashicorp-vault-onboarding,auth-jwt-azure-dev,admin-auth-jwt-azure-policy
dev,lucierlabs,hashicorp-vault-onboarding,auth-jwt-github-dev,admin-auth-jwt-github-policy
dev,lucierlabs,hashicorp-vault-onboarding,auth-jwt-harness-dev,admin-auth-jwt-harness-policy
dev,lucierlabs,hashicorp-vault-onboarding,auth-jwt-kubernetes-dev,admin-auth-jwt-kubernetes-policy
dev,lucierlabs,hashicorp-vault-onboarding,auth-kerberos-ad-dev,admin-auth-kerberos-ad-policy
dev,lucierlabs,hashicorp-vault-onboarding,auth-ldap-ad-dev,admin-auth-ldap-ad-policy
dev,lucierlabs,hashicorp-vault-onboarding,auth-ldap-racf-dev,admin-auth-ldap-racf-policy
dev,lucierlabs,hashicorp-vault-onboarding,auth-msi-azure-dev,admin-auth-msi-azure-policy
dev,lucierlabs,hashicorp-vault-onboarding,auth-oidc-okta-dev,admin-auth-oidc-okta-policy
dev,lucierlabs,hashicorp-vault-onboarding,auth-sts-aws-dev,admin-auth-sts-aws-policy
dev,lucierlabs,hashicorp-vault-onboarding,auth-tls-certificates-dev,admin-auth-tls-certificates-policy
dev,lucierlabs,hashicorp-vault-onboarding,engine-ad-dev,admin-engine-ad-policy
dev,lucierlabs,hashicorp-vault-onboarding,engine-aws-dev,admin-engine-aws-policy
dev,lucierlabs,hashicorp-vault-onboarding,engine-azure-dev,admin-engine-azure-policy
dev,lucierlabs,hashicorp-vault-onboarding,engine-kubernetes-dev,admin-engine-kubernetes-policy
dev,lucierlabs,hashicorp-vault-onboarding,engine-kv-dev,admin-engine-kv-policy
dev,lucierlabs,hashicorp-vault-onboarding,engine-mysql-dev,admin-engine-mysql-policy
dev,lucierlabs,hashicorp-vault-onboarding,engine-oracle-dev,admin-engine-oracle-policy
dev,lucierlabs,hashicorp-vault-onboarding,engine-postgres-dev,admin-engine-postgres-policy
dev,lucierlabs,hashicorp-vault-onboarding,engine-snowflake-dev,admin-engine-snowflake-policy
dev,lucierlabs,hashicorp-vault-onboarding,engine-terraform-dev,admin-engine-terraform-policy
test,lucierlabs,hashicorp-vault-onboarding,auth-admin-ldap-test,admin-auth-admin-ldap-policy
test,lucierlabs,hashicorp-vault-onboarding,auth-approle-vault-test,admin-auth-approle-vault-policy
test,lucierlabs,hashicorp-vault-onboarding,auth-jwt-azure-test,admin-auth-jwt-azure-policy
test,lucierlabs,hashicorp-vault-onboarding,auth-jwt-github-test,admin-auth-jwt-github-policy
test,lucierlabs,hashicorp-vault-onboarding,auth-jwt-harness-test,admin-auth-jwt-harness-policy
test,lucierlabs,hashicorp-vault-onboarding,auth-jwt-kubernetes-test,admin-auth-jwt-kubernetes-policy
test,lucierlabs,hashicorp-vault-onboarding,auth-kerberos-ad-test,admin-auth-kerberos-ad-policy
test,lucierlabs,hashicorp-vault-onboarding,auth-ldap-ad-test,admin-auth-ldap-ad-policy
test,lucierlabs,hashicorp-vault-onboarding,auth-ldap-racf-test,admin-auth-ldap-racf-policy
test,lucierlabs,hashicorp-vault-onboarding,auth-msi-azure-test,admin-auth-msi-azure-policy
